,,eat_out,drink_caffeine,number_coffee,eat_sugar
1/1/2025,1,0,1,1,1
1/2/2025,2,0,1,1,0
1/3/2025,3,0,0,2,0
1/4/2025,4,0,1,1,0
1/5/2025,5,0,1,1,0
1/6/2025,6,0,1,1,0
1/7/2025,7,0,1,1,0
1/8/2025,8,0,1,1,0
1/9/2025,9,0,1,2,0
1/10/2025,10,1,1,1,0
1/11/2025,11,0,1,3,0
1/12/2025,12,0,1,2,0
1/13/2025,13,0,1,1,0
1/14/2025,14,0,1,1,0
1/15/2025,15,0,1,1,0
1/16/2025,16,0,1,1,0
1/17/2025,17,0,1,1,0
1/18/2025,18,0,1,2,0
1/19/2025,19,0,1,3,0
1/20/2025,20,0,1,1,0
1/21/2025,21,0,1,2,0
1/22/2025,22,0,1,3,0
1/23/2025,23,1,1,1,0
1/24/2025,24,1,1,2,1
1/25/2025,25,0,1,2,0
1/26/2025,26,1,1,3,1
1/27/2025,27,0,1,2,0
1/28/2025,28,0,1,3,0
1/29/2025,29,0,1,2,0
1/30/2025,30,0,1,2,0
1/31/2025,31,1,1,3,1
2/1/2025,32,0,1,2,0
2/2/2025,33,1,1,1,0
2/3/2025,34,1,1,4,1
2/4/2025,35,1,1,4,0
2/5/2025,36,1,1,5,0
2/6/2025,37,0,1,1,0
2/7/2025,38,1,1,1,0
2/8/2025,39,0,1,2,0
2/9/2025,40,0,1,2,1
2/10/2025,41,0,1,1,0
2/11/2025,42,0,1,1,1
2/12/2025,43,0,1,2,0
2/13/2025,44,0,1,2,0
2/14/2025,45,1,1,2,0
2/15/2025,46,0,1,2,1
2/16/2025,47,0,1,3,1
2/17/2025,48,0,1,2,0
2/18/2025,49,0,1,2,0
2/19/2025,50,0,1,2,0
2/20/2025,51,0,1,2,0
2/21/2025,52,1,1,2,1
2/22/2025,53,0,1,1,1
2/23/2025,54,1,1,4,1
2/24/2025,55,0,1,2,0
2/25/2025,56,1,1,2,0
2/26/2025,57,0,1,2,0
2/27/2025,58,0,1,2,0
2/28/2025,59,1,1,2,1
3/1/2025,60,1,1,2,1
3/2/2025,61,0,1,3,1
3/3/2025,62,0,1,1,0
3/4/2025,63,0,1,2,0
3/5/2025,64,0,1,1,0
3/6/2025,65,0,1,1,0
3/7/2025,66,2,1,2,0
3/8/2025,67,0,1,3,0
3/9/2025,68,0,1,2,0
3/10/2025,69,0,1,2,0
3/11/2025,70,0,1,2,0
3/12/2025,71,0,1,2,0
3/13/2025,72,1,1,2,0
3/14/2025,73,1,1,2,0
3/15/2025,74,0,1,2,0
3/16/2025,75,0,1,3,0
3/17/2025,76,0,1,1,0
3/18/2025,77,0,1,1,0
3/19/2025,78,0,1,2,0
3/20/2025,79,1,1,2,0
3/21/2025,80,0,1,2,0
3/22/2025,81,0,1,4,0
3/23/2025,82,1,1,4,1
3/24/2025,83,0,1,2,0
3/25/2025,84,0,1,1,0
3/26/2025,85,0,1,2,0
3/27/2025,86,0,1,2,0
3/28/2025,87,0,1,2,0
3/29/2025,88,0,1,2,0
3/30/2025,89,0,1,3,1
3/31/2025,90,0,1,1,0
4/1/2025,91,1,1,2,0
4/2/2025,92,0,1,2,0
4/3/2025,93,0,1,2,0
4/4/2025,94,1,1,1,0
4/5/2025,95,1,1,2,1
4/6/2025,96,0,1,1,0
4/7/2025,97,0,1,2,0
4/8/2025,98,0,1,2,0
4/9/2025,99,0,1,2,0
4/10/2025,100,1,1,3,0
4/11/2025,101,1,1,2,0
4/12/2025,102,0,1,1,1
4/13/2025,103,0,1,1,1
4/14/2025,104,0,1,2,0
4/15/2025,105,0,1,2,0
4/16/2025,106,0,1,2,0
4/17/2025,107,0,1,2,0
4/18/2025,108,1,1,2,0
4/19/2025,109,0,1,3,0
4/20/2025,110,0,1,2,1
4/21/2025,111,0,1,2,0
4/22/2025,112,0,1,2,1
4/23/2025,113,1,1,2,1
4/24/2025,114,0,1,1,0
4/25/2025,115,1,1,1,1
4/26/2025,116,0,1,2,1
4/27/2025,117,1,1,2,1
4/28/2025,118,0,1,1,0
4/29/2025,119,1,1,2,0
4/30/2025,120,0,1,2,0
5/1/2025,121,0,1,2,0
5/2/2025,122,1,1,2,0
5/3/2025,123,1,1,1,0
5/4/2025,124,1,1,1,0
5/5/2025,125,0,1,3,0
5/6/2025,126,0,1,2,0
5/7/2025,127,0,1,2,0
5/8/2025,128,0,1,2,0
5/9/2025,129,0,1,2,1
5/10/2025,130,0,1,3,0
5/11/2025,131,0,1,1,1
5/12/2025,132,0,1,2,0
5/13/2025,133,1,1,2,1
5/14/2025,134,0,1,2,0
5/15/2025,135,0,1,2,0
5/16/2025,136,0,1,2,0
5/17/2025,137,1,1,2,1
5/18/2025,138,0,1,2,0
5/19/2025,139,0,1,2,0
5/20/2025,140,0,1,2,0
5/21/2025,141,0,1,2,0
5/22/2025,142,0,1,2,0
5/23/2025,143,0,1,2,0
5/24/2025,144,0,1,2,0
5/25/2025,145,1,1,2,1
5/26/2025,146,0,1,2,1
5/27/2025,147,0,1,2,0
5/28/2025,148,0,1,2,0
5/29/2025,149,0,1,2,0
5/30/2025,150,0,1,2,0
5/31/2025,151,1,1,2,0
6/1/2025,152,0,1,1,0
6/2/2025,153,0,1,2,0
6/3/2025,154,0,1,2,0
6/4/2025,155,0,1,2,0
6/5/2025,156,0,1,2,1
6/6/2025,157,0,1,1,1
6/7/2025,158,0,1,4,0
6/8/2025,159,0,1,1,0
6/9/2025,160,0,1,1,0
6/10/2025,161,0,1,2,0
6/11/2025,162,0,1,2,0
6/12/2025,163,0,1,2,0
6/13/2025,164,1,1,2,1
6/14/2025,165,1,1,3,0
6/15/2025,166,0,1,2,0
6/16/2025,167,0,1,2,0
6/17/2025,168,0,1,2,0
6/18/2025,169,0,1,2,0
6/19/2025,170,0,1,1,0
6/20/2025,171,1,1,2,1
6/21/2025,172,0,1,2,0
6/22/2025,173,1,1,2,1
6/23/2025,174,0,1,2,0
6/24/2025,175,0,1,2,0
6/25/2025,176,0,1,2,0
6/26/2025,177,0,1,2,0
6/27/2025,178,0,1,2,0
6/28/2025,179,1,1,4,0
6/29/2025,180,0,1,1,0
6/30/2025,181,0,1,2,0
7/1/2025,182,1,1,2,1
7/2/2025,183,0,1,1,0
7/3/2025,184,0,1,2,0
7/4/2025,185,0,1,3,1
7/5/2025,186,0,1,2,1
7/6/2025,187,1,1,1,0
7/7/2025,188,1,1,2,1
7/8/2025,189,0,1,3,1
7/9/2025,190,0,1,1,0
7/10/2025,191,0,1,2,0
7/11/2025,192,0,1,2,0
7/12/2025,193,1,1,2,1
7/13/2025,194,0,1,1,1
7/14/2025,195,0,1,2,0
7/15/2025,196,1,1,2,0
7/16/2025,197,0,1,1,0
7/17/2025,198,0,1,1,0
7/18/2025,199,1,1,2,1
7/19/2025,200,0,1,2,0
7/20/2025,201,0,1,2,0
7/21/2025,202,0,1,2,0
7/22/2025,203,0,1,2,0
7/23/2025,204,0,1,2,0
7/24/2025,205,0,1,3,0
7/25/2025,206,1,1,1,0
7/26/2025,207,0,1,3,0
7/27/2025,208,1,1,1,1
7/28/2025,209,0,1,2,1
7/29/2025,210,0,1,2,0
7/30/2025,211,0,1,2,0
7/31/2025,212,1,1,2,0
8/1/2025,213,0,1,2,0
8/2/2025,214,0,1,3,0
8/3/2025,215,0,1,1,1
8/4/2025,216,0,1,2,0
8/5/2025,217,0,1,2,0
8/6/2025,218,0,1,2,0
8/7/2025,219,0,1,2,0
8/8/2025,220,0,1,2,0
8/9/2025,221,0,1,2,0
8/10/2025,222,0,1,3,1
8/11/2025,223,0,1,3,0
8/12/2025,224,0,1,2,0
8/13/2025,225,0,1,2,0
8/14/2025,226,1,1,2,1
8/15/2025,227,0,1,3,0
8/16/2025,228,1,1,2,0
8/17/2025,229,0,1,2,0
8/18/2025,230,0,1,3,0
8/19/2025,231,0,1,2,0
8/20/2025,232,1,1,2,0
8/21/2025,233,0,1,2,0
8/22/2025,234,0,1,1,0
8/23/2025,235,0,1,3,0
8/24/2025,236,1,1,3,0
8/25/2025,237,0,1,2,0
8/26/2025,238,1,1,2,0
8/27/2025,239,0,1,3,0
8/28/2025,240,0,1,2,0
8/29/2025,241,0,1,2,0
8/30/2025,242,0,1,2,0
8/31/2025,243,0,1,2,1
9/1/2025,244,0,1,3,1
9/2/2025,245,0,1,2,0
9/3/2025,246,0,1,2,0
9/4/2025,247,0,1,2,0
9/5/2025,248,1,1,3,0
9/6/2025,249,0,1,2,1
9/7/2025,250,0,1,1,0
9/8/2025,251,0,1,2,0
9/9/2025,252,0,1,2,0
9/10/2025,253,1,1,2,0
9/11/2025,254,0,1,1,0
9/12/2025,255,0,1,2,0
9/13/2025,256,0,1,3,1
9/14/2025,257,0,1,3,0
9/15/2025,258,0,1,3,1
9/16/2025,259,0,1,2,0
9/17/2025,260,0,1,1,0
9/18/2025,261,0,1,3,0
9/19/2025,262,1,1,2,1
9/20/2025,263,0,1,2,0
9/21/2025,264,0,1,3,1
9/22/2025,265,0,1,3,0
9/23/2025,266,0,1,1,0
9/24/2025,267,0,0,0,0
9/25/2025,268,0,1,1,0
9/26/2025,269,1,1,2,0
9/27/2025,270,0,1,3,0
9/28/2025,271,1,1,3,0
9/29/2025,272,0,1,2,0
9/30/2025,273,0,1,4,0
10/1/2025,274,0,1,2,0
10/2/2025,275,0,1,2,0
10/3/2025,276,1,1,2,0
10/4/2025,277,0,1,3,1
10/5/2025,278,1,1,3,1
10/6/2025,279,1,1,1,0
10/7/2025,280,0,1,2,0
10/8/2025,281,0,1,2,0
10/9/2025,282,0,1,2,0
10/10/2025,283,0,1,2,1
10/11/2025,284,0,1,1,0
10/12/2025,285,1,1,3,1
10/13/2025,286,0,1,2,0
10/14/2025,287,0,1,2,0
10/15/2025,288,0,1,3,0
10/16/2025,289,0,1,1,0
10/17/2025,290,0,1,2,0
10/18/2025,291,0,1,2,0
10/19/2025,292,0,1,2,1
10/20/2025,293,1,1,3,1
10/21/2025,294,0,1,2,1
10/22/2025,295,0,1,2,1
10/23/2025,296,0,1,1,0
10/24/2025,297,2,1,2,1
10/25/2025,298,0,1,2,1
10/26/2025,299,0,1,3,0
10/27/2025,300,1,1,2,0
10/28/2025,301,0,1,1,1
10/29/2025,302,0,1,2,1
10/30/2025,303,0,1,2,0
10/31/2025,304,1,1,1,1
11/1/2025,305,0,1,3,1
11/2/2025,306,1,1,3,1
11/3/2025,307,1,1,2,0
11/4/2025,308,1,1,3,1
11/5/2025,309,0,1,1,0
11/6/2025,310,0,1,2,0
11/7/2025,311,1,1,2,0
11/8/2025,312,0,1,3,0
11/9/2025,313,0,1,3,1
11/10/2025,314,0,1,2,1
11/11/2025,315,0,1,1,0
11/12/2025,316,0,1,4,0
11/13/2025,317,0,1,2,0
11/14/2025,318,1,1,1,0
11/15/2025,319,1,0,0,0
11/16/2025,320,0,1,3,1
11/17/2025,321,0,1,2,0
11/18/2025,322,0,1,2,0
11/19/2025,323,0,1,2,0
11/20/2025,324,0,1,2,0
11/21/2025,325,1,1,2,1
11/22/2025,326,0,1,3,1
11/23/2025,327,0,1,3,1
11/24/2025,328,0,1,2,1
11/25/2025,329,0,1,2,0
11/26/2025,330,0,1,3,0
11/27/2025,331,0,1,3,1
11/28/2025,332,0,1,3,1
11/29/2025,333,0,1,3,1
11/30/2025,334,1,1,3,1
12/1/2025,335,0,1,2,1
12/2/2025,336,0,1,2,0
12/3/2025,337,0,1,2,0
12/4/2025,338,0,1,2,0
12/5/2025,339,1,1,2,0
12/6/2025,340,2,1,3,1
12/7/2025,341,0,1,2,1
12/8/2025,342,0,1,2,1
12/9/2025,343,0,1,2,1
12/10/2025,344,0,1,2,0
12/11/2025,345,0,1,1,1
12/12/2025,346,0,1,2,1
12/13/2025,347,0,1,3,0
12/14/2025,348,0,1,3,0
12/15/2025,349,1,1,2,0
12/16/2025,350,1,1,2,0
12/17/2025,351,0,1,2,0
12/18/2025,352,0,1,2,0
12/19/2025,353,0,1,1,0
12/20/2025,354,0,1,2,0
12/21/2025,355,0,1,1,1
12/22/2025,356,0,1,1,1
12/23/2025,357,0,1,2,1
12/24/2025,358,0,1,2,1
12/25/2025,359,0,1,3,1
12/26/2025,360,0,1,2,1
12/27/2025,361,0,1,2,1
12/28/2025,362,1,1,3,1
12/29/2025,363,1,1,1,1
12/30/2025,364,0,1,2,1
12/31/2025,365,0,1,1,1